458	utrujeno
459	hrupno
459	glasno
461	razen
461	samo ( + neg. )
461	samo ( + neg. )
465	izneveriti se
465	razočarati
465	pustiti na cedilu
465	pustiti pasti (pri izpitu)
471	vztrajen
471	trdovraten
471	trmast
471	odločen
475	klečeplaziti
479	sesati
479	vsrkavati
483	vedno
483	kar naprej
483	pogosto
488	ohripeti
499	potrt
499	otožen
499	vlaga
499	moker
499	vlažen
500	no torej
500	No, če je pa tako
505	pljuskajoč zvok vode
520	vse
520	popolnoma
521	jasen
521	prijazen
521	čist
521	pregleden
523	hitro
523	nenadno
527	spreten
527	uren
527	hiter
527	bister
530	mirno {spati}
531	gladko {govoriti}
535	nakar
535	nato
535	in tako
535	in takrat
535	zato
544	vseskozi
544	vedno
544	vseskozi
544	ves čas
544	zelo
547	premočen
547	namočen
548	zavlačevati
548	zadrževati
548	odložiti
548	odlašati
548	preprečiti
551	vrzel
551	luknja
551	soteska
551	razlika
551	odstraniti
552	zdrsniti
552	ne ujemati se
555	(na)hujskati, (raz)dra iti
555	nadlegovati
561	nestrpnost
561	naglost
561	nepotrpežljivost
561	nestrpen
561	nepotrpežljiv
561	nagel
561	hiter
561	prenagljen
563	najbolj
563	najmanj
565	tako
577	nemaren
577	brezskrben
577	lahkomiseln
582	cel
582	ves
582	celoten
583	mirno
583	tiho
583	skrivnostno
583	mehko
583	mehko
583	skrivnostno
583	mirno
587	nato
587	potem
589	povrhu
589	poleg tega
591	ostalo
591	in drugo
591	in podobno
591	in tako dalje
593	sčasoma
593	prej ali slej
596	vetrič
612	takšen (kot tisto)
616	grob
616	robat
616	neotesan
616	neolikan
616	nevljuden
616	osoren
616	nemaren
622	samo
622	ne več
622	kot
623	polno
623	veliko
623	v izobilju
623	široko
630	zato
630	zaradi tega
636	toda
636	vendar
640	ohlapen {obleka}
640	vrečast
640	napihnjen
667	kot je treba
667	točno
667	natančno
667	pravilno
694	slučajno
694	nehote
694	ravnokar
694	samo
695	spotoma
695	v primeru, da ...
707	gladek
707	spolzek
707	spolzeti
707	zdrsniti
707	spolzko
707	gladko
718	{formalna kopula}
721	velik
721	ogromen
726	zato
726	zaradi tega
727	no
727	torej
727	potem
728	toda
728	vendar
728	ampak
731	in, ter {za vezanje samostalnikov}
734	in
734	ipd.
766	v primerjavi z
771	itak
775	nekako
775	tako ali drugače
776	nekako
776	hvala {kratko za どうも ありがとう}
776	oprostite {kratko za どうもすみません}
777	na kakšen način
777	kako
778	očitno
778	navidez
780	biti šokiran
780	prestrašiti se
781	hitro bitje srca
781	razbijanje srca
781	biti razburjen
788	hrup
788	(pog.) kraval
788	razgrajanje
794	naenkrat
794	na kup {zbrati se, naplaviti, navaliti}
794	zelo {utruditi se, zgruditi se}
804	hitro
804	urno
804	še in še
805	kakšen
806	kako
806	koliko
813	zato, ker
814	zato, ker
831	privoščljivo se smejati
831	posmehovati se
831	s privoščljivim nasmehom
854	biti spolzek
854	biti sluzast
854	spolzko
854	sluzasto
855	izvijač
869	počasi
869	lenobno
870	brezdelno
870	počasi
870	mirno
870	počasno
870	ležerno
870	sproščeno
870	vzeti si čas
871	da, ja, razumem (formalna pritrdilnica)
872	svetlo
872	razumljivo
872	odrezavo
872	urno
872	živahno
879	izjasniti se
879	biti jasno
879	jasno
879	razločno
881	vzeti nazaj
881	stanje presenečenosti
892	biti izčrpan
897	biti razkrinkano
897	razvedeti se
897	uhajati {skrivnost}
897	pronicati {skrivnost}
905	takoj
905	nenadoma
905	hitro
905	naglo
916	{+した} miren
916	{+した} tih
926	kriliti
926	omahovati
926	plahutati
926	gibanje svetlobe
926	gibanje nežnih, mehkih stvari
926	zibanje
931	biti bojazljiv
931	biti plašen
931	trepetati
933	zmočen
933	premočen
933	moker
933	do kosti premočen
934	premočen
934	moker
937	na koncu
937	na dnu
938	zvok paranja {blaga}
938	zvok trganja {papirja}
938	zvok driske
938	trepetanje
938	občutek električnega šoka
938	parati se
938	trepetati
938	stresti
940	iskriti se
940	žareti
940	lesketanje
940	svetiti se
940	sijati
940	sijoč
940	svetleč se
947	točno
947	prilegajoče se
947	nenadoma
947	točno
947	{+の} natančen
947	{+の} točen
947	{+の} primeren
947	{+の} ustrezen
948	skakati
948	skakljati
951	pikati
951	zbadati
951	biti pekoč {okus}
952	živahen
952	vitalen
962	zbegan
962	omahovalen
962	motovilen
962	vrtoglav
962	majav
962	opotekati
962	majati se
969	vrečast
969	prevelik
974	treščiti
974	zaleteti se
976	godrnjati
976	mrmraje
976	godrnjavo
979	zibati
979	gugati se
979	postopati
979	pohajkovati
981	obesiti
982	tresti se od strahu
982	tresenje telesa ali udov od mraza
982	strahu itd.
998	lepljiv
998	(pri)lepiti
998	(pri)lepljiv
998	lepek
998	oprijem
998	povsod
998	biti mehak
998	debel
998	flirtati
998	vse naokoli
1007	biti sestradan
1007	biti zelo lačen（腹がへる）
1007	biti lačen
1007	ponižno s prilkoniti（へつらう）
1011	tekoče
1011	brez napak
1011	gladkost
1011	lahkotnost
1011	izurjenost
1011	spretnost
1011	zgovornost
1011	gladek
1011	tekoč
1011	spreten
1011	tekoč
1011	spreten
1011	izurjen（喋る しゃべる govoriti）
1011	tekoče
1011	gladko
1011	tanek
1011	netrpežen
1018	počutiti se olajšano
1018	biti olajšan
1029	idiot
1034	postopoma prehajati
1034	tu in tam
1035	nergati
1035	pritoževati se
1036	postati nejasen
1036	zamegljen
1040	krhek
1040	drobljiv
1040	oguljen
1040	uničen
1042	nejasen
1042	nedoločen
1042	negotov
1042	bedast
1042	zamišljenost
1042	odsotnost
1042	zamišljen
1042	malomaren
1042	namaren
1042	nepreviden
1043	glas pri pretepanju
1043	biti toplo in prijetno
1054	lahko bi rekel
1056	tako-tako
1056	tako pač
1060	nepreviden
1060	raztresen
1060	nepazljiv
1060	zgubljen
1068	zvestoba
1068	vdanost
1068	zvest
1068	zanesljiv
1068	vdan
1078	slabost
1078	slabo se počutiti
1078	morska bolezen
1078	valovanje
1084	mrk
1084	čemeren
1091	še
1091	že
1098	Halo! (po telefonu)
1104	še
1104	več
1104	bolj
1105	zabava
1105	razvedrilo
1117	zločinski
1117	mafijski
1117	Yakuza (japonska mafija)
1126	težaven
1126	zapleten
1126	kompleksen
1126	zamotan
1126	kompliciran
1130	način
1130	kako nekaj narediš
1131	dajanje in prejemanje
1134	dati (višji nižjemu)
1134	delati
1134	narediti
1134	početi
1141	počasi
1141	uživati v lagodju
1141	počasi delati
1154	od
1154	kot
1164	tresti se od vznemirjenosti
1164	izraz navdušenja
1164	veselja
1164	sreče
1223	led
1223	leden
1224	sladoled
1245	ideja
1278	likalnik
1286	aut
1337	modni dodatek
1337	postranski
1337	dodatek
1338	dostop
1346	naglas
1346	akcent
1394	Azija
1418	asfalt
1460	zgoraj
1460	gornji
1460	dvigniti
1460	približati (h kameri)
1460	gor
1460	navzgor
1460	višina
1499	nasvet
1523	napovedovalec {radijski, televizijski}
1564	stanovanje
1574	privlačnost
1574	apel
1608	metoda
1608	približevanje (pri golfu)
1608	pristop
1631	amater
1631	laik
1631	ljubitelj
1670	Arabec
1670	arabski
1679	alibi
1683	alkali
1689	alkohol
1702	album
1710	abeceda
1719	aluminij
1722	aluminij
1730	alergija
1739	ura
1749	anketa
1750	ponovitev
1774	podčrtava
1793	antena
1858	Anglija
1860	koliko (denarja)
1860	koliko {denarja}
1860	{+...ても} pa naj še tako...
1860	{+...ても} čeprav večkrat {pred povedkom v obliki na て s členkom も}
1864	enako
1864	enakost
1864	enačaj
1876	Italija
1889	ideologija
1911	izgled
1911	podoba
1911	stil
1911	imidž
1926	uhan
1952	črnilo
1952	tinta
1982	neposreden
1982	takojšen
1982	instanten
2009	zamenjava zamena
2010	mednaroden
2013	internet
2023	interfon
2028	intervju
2045	(pogovorno) goljufija
2045	ponaredek
2045	ponaredba
2049	intelekt
2049	intelektualec
2050	notranjost interier
2119	informacija
2140	gripa
2143	inflacija
2143	inflacija (kratko za インフレーション)
2144	inflacija
2180	ženska
2185	volna
2188	konec tedna
2188	vikend
2189	delavnik
2194	viski
2215	virus
2233	natakar
2235	natakarica
2257	opasje
2257	pas
2257	stas
2351	klima
2351	klimatska naprava
2382	letalska pošta
2391	AIDS (privzet immuno-pomanjkanje sindrom)
2477	tekoče stopnice
2477	pomične stopnice
2517	običaji strog predpis z vedenje etiketa
2517	etiketa
2526	esej
2556	energija
2584	apron
2631	eleganten
2659	dvigalo
2684	inženir
2684	inžinir
2688	motor
2735	tajnica
